열1,text,original,pos,pos_word,neg,neg_word,senti_score,sigmoid,predict,일치여부
0,직장에서 해고당할 것 같아서 불안해.,부정,0,[],2,"['해고', '당하']",-2,0.119 ,부정,O
1,당뇨 때문에 강제로 운동을 해야 해서 너무 짜증 나.,부정,0,[],2,"['당뇨', '짜증']",-2,0.119 ,부정,O
2,회사에서 임원 승진 팔 개월 만에 실적 부진으로 해임되어서 화가 나네.,부정,1,['승진'],1,['화'],0,0.500 ,부정,O
3,친했던 친구들이 나를 따돌리는 것 같아 충격이야.,부정,1,['친구'],1,['충격'],0,0.500 ,부정,O
4,믿었던 친구에 대한 배신감으로 너무 힘들어.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
5,결국 이렇게 시름시름 앓다가 나는 죽을까봐 점점 겁이나.,부정,0,[],1,['겁'],-1,0.269 ,부정,O
6,취업 준비를 포기할래. 더는 불합격 통보에 상처받고 싶지 않아.,부정,0,[],2,"['포기', '상처']",-2,0.119 ,부정,O
7,지금이 나이에 빚을 가지고 원금은 커녕 이자를 갚기도 급해.,부정,0,[],2,"['나이', '빚']",-2,0.119 ,부정,O
8,나 요즘 아주 편안해.,긍정,1,['편안'],0,[],1,0.731 ,긍정,O
9,싸움을 말리다가 오히려 상황을 안 좋게 만든 것 같아 마음이 무거워.,부정,1,['마음'],1,['안'],0,0.500 ,부정,O
10,오늘 당황스러운 일이 생겼어.,부정,0,[],1,['당황'],-1,0.269 ,부정,O
11,내 친구들보다 내가 더 건강이 안 좋은 것 같아서 열등감이 느껴져.,부정,2,"['친구', '건강']",1,['안'],1,0.731 ,긍정,X
12,내가 세상을 떠난 뒤 나를 기억하고 그리워해 줄 사람이 없을 것 같아 서글퍼.,부정,0,[],0,[],0,0.500 ,부정,O
13,자식들에게 회사를 물려줬는데 더욱더 번창하고 있다고 해서 너무 대견하고 기뻐.,긍정,0,[],0,[],0,0.500 ,부정,X
14,내가 질병에 걸리니까 동무들이 나한테 어떠냐고 물어봤어.,중립,0,[],0,[],0,0.500 ,부정,X
15,평소에 건강하다고 자부하고 살았는데 얼마 전에 손목이 아파서 병원 갔더니 염증이 있어서 물리치료를 받아야 한다네.,부정,1,['건강'],0,[],1,0.731 ,긍정,X
16,반에서 떠드는 몇 명 애들 때문에 다 같이 선생님한테 안 좋은 소리를 들었어.,부정,0,[],2,"['반', '안']",-2,0.119 ,부정,O
17,대학 졸업은 했는데 취업이 안돼서 걱정이야. 자꾸 툴툴대게 돼.,부정,0,[],2,"['안', '걱정']",-2,0.119 ,부정,O
18,애들이 다 취직하고 사회에서 어엿한 사회인으로 생활하는 것을 보면 집사람이 너무 고생한 거 같아 고마워.,긍정,1,['취직'],1,['고생'],0,0.500 ,부정,X
19,부적만 믿고 건강관리를 안 한 친구를 보면 참 한심하게 느껴져.,부정,1,['친구'],1,['안'],0,0.500 ,부정,O
20,나 요즘 너무 스트레스야!,부정,0,[],1,['스트레스'],-1,0.269 ,부정,O
21,있잖아. 얘기 좀 들어줘.,중립,0,[],0,[],0,0.500 ,부정,X
22,나 요즘 너무 혼란스러워,부정,0,[],1,['혼란'],-1,0.269 ,부정,O
23,왜 공부를 해야 하는지 모르겠어. 자꾸 공부를 하라고 해서 화가 나.,부정,0,[],2,"['왜', '화']",-2,0.119 ,부정,O
24,문소리만 나도 누가 오려나 기다리는 내가 참 슬프고 쓸쓸하네.,부정,0,[],1,['쓸쓸'],-1,0.269 ,부정,O
25,만약에 아내가 먼저 죽게 되면 나도 따라 죽어야겠어.,중립,0,[],0,[],0,0.500 ,부정,X
26,은퇴 후에 허무함이 커서 딸에게 말했는데 딸이 짜증을 냈어.,부정,0,[],1,['짜증'],-1,0.269 ,부정,O
27,내가 먹으려고 남긴 케이크를 누나가 다 먹을까 봐 걱정돼.,부정,0,[],1,['걱정'],-1,0.269 ,부정,O
28,코로나 때문에 직장에서 잘렸어.,부정,0,[],0,[],0,0.500 ,부정,O
29,날 따돌림 시켰던 친구들이 나에게 미안하다고 진심으로 사과했어.,부정,1,['친구'],2,"['따돌림', '미안']",-1,0.269 ,부정,O
30,건강에 고립감이 들어.,부정,1,['건강'],0,[],1,0.731 ,긍정,X
31,친구들에게는 자식이 선물해 줬다고 했지만 사실은 다 내가 구입한 거야.,중립,2,"['친구', '선물']",0,[],2,0.881 ,긍정,X
32,팀장님이 빨리 내라고 엄청 재촉했어. 짜증 나서 대충 작성해서 제출해버렸어.,부정,0,[],2,"['빨리', '짜증']",-2,0.119 ,부정,O
33,요즘은 학교에 가는 게 너무 무서워서 눈물이 나.,부정,0,[],1,['눈물'],-1,0.269 ,부정,O
34,친구가 수업 중에 핸드폰을 하다가 선생님께 혼났는데 친구가 갑자기 핸드폰을 바닥에 던져서 당황했어.,부정,2,"['친구', '친구']",2,"['갑자기', '당황']",0,0.500 ,부정,O
35,아들이 내 병간호를 하고 자면 코골이가 심해져서 다른 사람들에게 눈치가 보여.,부정,0,[],2,"['병간호', '눈치']",-2,0.119 ,부정,O
36,퇴근을 안 하는 주말에는 자기계발을 하고 싶었는데 자꾸 아무것도 안 하고 누워 있게 돼서 고민이야.,부정,0,[],4,"['안', '아무것', '안', '고민']",-4,0.018 ,부정,O
37,경제적으로 너무 힘들어. 아르바이트라도 구해야 할 텐데.,부정,0,[],0,[],0,0.500 ,부정,O
38,일정이 끝나고 집에 돌아가도 이제 아내가 집에 없어서 외로워.,부정,0,[],0,[],0,0.500 ,부정,O
39,드디어 오늘 광고주의 승낙이 떨어졌어. 그동안 얼마나 마음 졸였는지 몰라.,부정,2,"['드디어', '마음']",0,[],2,0.881 ,긍정,X
40,업무 스트레스로 화를 가끔 다스리기 어려워 고민이야.,부정,0,[],2,"['스트레스', '고민']",-2,0.119 ,부정,O
41,스물아홉 살이 되니까 점점 결혼을 해야 할 것 같다는 생각이 들어. ,중립,0,[],0,[],0,0.500 ,부정,X
42,늙으니 할 수 있는 일이 없어서 내 용돈벌이도 못하는 게 너무 속상해.,부정,0,[],0,[],0,0.500 ,부정,O
