,0
0,억지로
1,구토
2,위기인
3,독점
4,은밀
5,빈곤
6,명백하
7,과중
8,과음
9,가난
10,참견
11,고생하
12,심란
13,잊다
14,변명
15,초래
16,부담
17,폭발
18,유괴
19,주저하
20,바람피우다
21,불가능
22,기생하
23,환자
24,잊어버리다
25,불량자
26,충돌
27,화나다
28,갑자기
29,면박
30,쇼크
31,버티
32,나쁘다
33,떨어지
34,억울하다
35,소름
36,착잡하다
37,억제
38,진술하
39,빼돌리다
40,토하다
41,오답
42,반박
43,골탕
44,혼잡하
45,못생기다
46,백혈병
47,부끄러움
48,오류
49,위로하
50,나앉다
51,경고
52,두려움
53,은퇴하다
54,불륜
55,부인하
56,조심하다
57,이탈
58,야근
59,소송
60,예외
61,낙인찍히다
62,미치다
63,공포
64,질책
65,못나다
66,제외되
67,집착하다
68,동성애자
69,창피하다
70,차단되
71,지나치
72,노출하
73,싸우
74,내전
75,어지럽다
76,곤두서다
77,폭행
78,말다툼
79,서운하다
80,습격
81,미치광이
82,비싸
83,역정
84,신장병
85,달아나
86,아웃
87,뒹굴
88,컨닝
89,난처
90,황당
91,조심
92,불평
93,조급하다
94,욕설
95,하한
96,반발하
97,곰팡이
98,불합격
99,과시하
100,고립
101,망치다
102,지병
103,위기
104,위협
105,교통사고
106,압박하
107,허망
108,사채
109,무너지다
110,중단하
111,자퇴
112,거세
113,때리
114,죽이
115,흔들리다
116,흩어지
117,이별
118,장애
119,걱정하
120,무심하
121,우려하
122,함정
123,피해자
124,서운
125,혹시
126,구설수
127,부정하
128,안일하
129,해이
130,서먹
131,화약
132,감추다
133,빠듯
134,다단계
135,항의
136,해치
137,고발
138,도대체
139,헛돈
140,뒤쳐지다
141,절망적
142,하위
143,범죄자
144,전염병
145,직설적
146,빌리다
147,어둡다
148,만취하
149,충격
150,피로감
151,사라지다
152,얄미움
153,너무하다
154,짜증내다
155,멋대로
156,불안하
157,저지르
158,침수되
159,내쫓
160,따돌리다
161,과잉
162,가로채다
163,서두르
164,거짓
165,어쩌다
166,자꾸
167,도망치
168,꾸중
169,복잡
170,의심
171,몸서리
172,되풀이
173,울적
174,무겁다
175,충돌하
176,끊다
177,폭로되
178,말기
179,두렵다
180,아무것
181,시끄럽다
182,척하다
183,억울하
184,시달리다
185,우습다
186,떨어뜨리
187,질투
188,반대하
189,스토킹
190,금지
191,접촉
192,불편하
193,필요하
194,무모
195,짜증
196,무관심
197,부풀
198,베끼다
199,빨리
200,허무하다
201,불만
202,험담
203,아집
204,무리수
205,깜빡
206,왕따
207,심하다
208,저조하
209,없애
210,유인하
211,수군거리다
212,내쫓다
213,당황하
214,모자라
215,허드렛일
216,보이스피싱
217,이탈하
218,잔소리
219,투석
220,걱정거리
221,타박
222,거지
223,악영향
224,조르다
225,아슬아슬하
226,사춘기
227,실망감
228,노름빚
229,요구되
230,지진
231,제압하
232,때리다
233,잃다
234,환각
235,비통
236,분노감
237,체포
238,티격태격
239,뺴다
240,진술
241,가난하다
242,극단적
243,거부
244,성내다
245,병원비
246,과다하
247,의기소침
248,비참
249,곤란
250,부담스럽다
251,사기
252,수치
253,까먹다
254,걱정되다
255,호들갑
256,굽신거리다
257,동결
258,설움
259,심란하다
260,슬프
261,회의적
262,아부
263,비아냥대다
264,아들놈
265,쫓아내
266,밀집되
267,흘리
268,초라하다
269,망설이다
270,재촉
271,초라
272,끊어지
273,짜증나다
274,쇼윈도
275,패거리
276,밀리다
277,유포
278,비염
279,한심
280,구형하
281,지각하
282,엉터리
283,투기하다
284,몰래
285,저하
286,퍼붓
287,허수아비
288,막돼먹다
289,떨어지다
290,처사
291,무시하
292,기웃거리
293,위법
294,처분하
295,우습
296,자퇴하다
297,부정
298,민망하다
299,강요하
300,항암
301,너무하
302,어쩌
303,만성질환
304,비참하다
305,바쁘다
306,재발
307,예민하다
308,여의
309,퇴직금
310,강요
311,동정
312,위반
313,상하
314,위반자
315,오해
316,새치기
317,정색
318,부정적
319,약하다
320,수시로
321,올가미
322,휘말리다
323,하소연
324,지연되
325,혼돈
326,불의
327,감시
328,일하다
329,버리다
330,아이고
331,싸움
332,차별
333,위반되
334,위축되다
335,저질
336,감수하
337,취하
338,함부로
339,항의하
340,무산
341,구박
342,만취
343,중지하
344,공격하
345,노려보다
346,무안
347,차라리
348,중상
349,쓸쓸
350,여드름
351,실망
352,어이
353,만성
354,떠돌다
355,하늘나라
356,씁쓸
357,삿대질
358,아무리
359,접촉하
360,지적하
